,movieid,title,year,romance,sci-fi,animation,film-noir,musical,adventure,thriller,horror,documentary,fantasy,mystery,children,comedy,crime,western,imax,war,drama,action,pc1,pc2,tsne_1,tsne_2,cluster_no
36,40,"Cry, the Beloved Country",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.1447105,-2.6167548,10
37,41,Richard III,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.589490619057275,-0.42945187641568844,-3.6753764,-74.42638,10
38,42,Dead Presidents,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-0.7478770875351476,0.1317982713405728,-73.30691,44.467964,7
39,43,Restoration,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.144837,-2.6175187,10
40,44,Mortal Kombat,1995.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1133773482115579,0.9327217307108329,6.6066666,40.36914,5
41,45,To Die For,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.14186198662860625,-0.33408585617970094,-17.12725,-37.430416,2
42,46,How to Make an American Quilt,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,39.21465,7.30926,9
43,47,Seven (a.k.a. Se7en),1995.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.31014695290091226,0.5698844585752624,1.600625,-25.23746,1
44,48,Pocahontas,1995.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.25034564615396887,-0.6331109956908119,52.79963,14.501991,9
45,49,When Night Is Falling,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,38.944244,7.846978,9
46,50,"Usual Suspects, The",1995.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-0.4428886644727297,0.6605122549579108,58.390102,-11.371852,8
47,52,Mighty Aphrodite,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.22107441549622756,-1.0044258371567747,19.735716,-43.9336,6
48,53,Lamerica,1994.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.47813374083705057,-0.1669397789012289,28.2623,28.177267,15
49,54,"Big Green, The",1995.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8664046643332803,-0.07213662654896141,-47.167076,-50.833733,18
50,55,Georgia,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.1533194,-2.7384956,10
51,57,Home for the Holidays,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.0965223,-2.356772,10
52,58,"Postman, The (Postino, Il)",1994.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.22107441549622756,-1.0044258371567747,19.735716,-43.9336,6
53,60,"Indian in the Cupboard, The",1995.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2946623802623175,0.5297211182418009,25.018944,41.152966,0
54,61,Eye for an Eye,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.8372505700227988,-0.05381979873663059,-29.262442,68.839386,12
55,62,Mr. Holland's Opus,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-6.8069196,-3.8045206,10
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6234926457909544,-0.028210195942704994,65.640144,1.2383741,21
57,64,Two if by Sea,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478856,-0.43446626875155797,-31.66494,-25.884596,16
58,65,Bio-Dome,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.922655,-13.719559,3
59,66,Lawnmower Man 2: Beyond Cyberspace,1996.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.3146762719824829,1.1982399740042966,-31.513493,53.683285,13
60,68,French Twist (Gazon maudit),1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478856,-0.43446626875155797,-32.837345,-26.4502,16
61,69,Friday,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.922655,-13.719557,3
62,70,From Dusk Till Dawn,1996.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.3632383657407646,0.8566594780334441,-51.5868,3.8813205,27
63,71,Fair Game,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.010268951111672019,0.6111300433631409,13.818339,75.92237,30
64,72,Kicking and Screaming,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-7.1449156,-38.414154,2
65,73,"Misérables, Les",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.589490619057275,-0.42945187641568844,-3.3707945,-73.56276,10
66,74,Bed of Roses,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,40.128014,8.103645,9
67,75,Big Bully,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-7.102073,-37.62388,2
68,76,Screamers,1995.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.3146762719824829,1.1982399740042966,-31.756535,53.622276,13
69,77,Nico Icon,1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07529304578560245,0.18354212983446055,42.204334,-25.917397,25
70,78,"Crossing Guard, The",1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,-1.0411070066748673,0.48650997589144196,-18.2264,30.338734,7
71,79,"Juror, The",1996.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.8372505700227988,-0.05381979873663059,-29.262442,68.839386,12
72,80,"White Balloon, The (Badkonake sefid)",1995.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.4338503439125706,-0.36183013751110765,72.27622,28.384361,10
73,81,Things to Do in Denver When You're Dead,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.6070558794697826,-0.633531983331056,31.742754,17.489864,9
74,82,Antonia's Line (Antonia),1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-7.5925493,-37.734257,2
75,83,Once Upon a Time... When We Were Colored,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,40.128017,8.103636,9
76,85,Angels and Insects,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,38.84033,8.22689,9
77,86,White Squall,1996.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5492484659173017,0.28276219934419505,-8.290745,39.191444,15
78,87,Dunston Checks In,1996.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8664046643332803,-0.07213662654896141,-47.167076,-50.833733,18
79,88,Black Sheep,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.826353,-13.375395,3
80,89,Nick of Time,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.30349887025139194,0.9658417479140097,29.122885,68.95068,27
81,92,Mary Reilly,1996.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.8659019174248355,0.11726398882587377,-52.982693,29.974642,12
82,93,Vampire in Brooklyn,1995.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.7972894929458489,-0.2633824811890536,-39.75403,-25.664577,16
83,94,Beautiful Girls,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.22107441549622756,-1.0044258371567747,19.42022,-44.638912,6
84,95,Broken Arrow,1996.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.2376119602053633,1.2074334723002806,-1.77598,47.74384,27
85,96,In the Bleak Midwinter,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-7.6843295,-37.81151,2
86,97,"Hate (Haine, La)",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.6767623624548965,-0.3179037069048513,-19.165272,-60.936787,17
87,99,Heidi Fleiss: Hollywood Madam,1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07529304578560245,0.18354212983446055,42.204334,-25.917397,25
88,100,City Hall,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.8372505700227988,-0.05381979873663059,-29.262442,68.839386,12
89,101,Bottle Rocket,1996.0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7590860388220968,-0.10224674798263857,3.406467,16.892569,16
90,102,Mr. Wrong,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.826315,-13.375282,3
91,103,Unforgettable,1996.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.3213243546320031,0.8022826846655489,-11.222605,51.14356,13
92,104,Happy Gilmore,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.922638,-13.7195835,3
93,105,"Bridges of Madison County, The",1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,39.214336,8.434276,9
94,106,Nobody Loves Me (Keiner liebt mich),1994.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-7.5925493,-37.734257,2
95,107,Muppet Treasure Island,1996.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.963743233046008,0.14519979162850155,20.68903,13.360587,23
96,108,Catwalk,1996.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07529304578560245,0.18354212983446055,42.16362,-26.071455,25
97,110,Braveheart,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.660605344137526,0.020250101829735738,87.11531,11.090406,26
98,111,Taxi Driver,1976.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-0.9699922815946161,0.03680799764601803,-66.17224,18.405138,22
99,112,Rumble in the Bronx (Hont faan kui),1995.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.6182648307567321,0.6630835066889899,-5.1711817,25.15545,19
100,113,Before and After,1996.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.6217834586128506,-0.3547868143808232,-37.121735,-59.778675,10
101,116,Anne Frank Remembered,1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07529304578560245,0.18354212983446055,42.25945,-26.6033,25
102,117,"Young Poisoner's Handbook, The",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.6767623624548965,-0.3179037069048513,-19.165272,-60.936787,17
103,118,If Lucy Fell,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478856,-0.43446626875155797,-31.838484,-26.77846,16
104,119,"Steal Big, Steal Little",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.922651,-13.719544,3
105,121,"Boys of St. Vincent, The",1992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.1432867,-2.605528,10
106,122,Boomerang,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478856,-0.43446626875155797,-31.901674,-26.78993,16
107,123,Chungking Express (Chung Hing sam lam),1994.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.5520769756277367,-0.670415090807028,37.049232,16.384289,9
108,125,Flirting With Disaster,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.921518,-13.713828,3
109,126,"NeverEnding Story III, The",1994.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2946623802623175,0.5297211182418009,25.018967,41.152996,0
110,128,Jupiter's Wife,1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07529304578560245,0.18354212983446055,42.204334,-25.917397,25
111,129,Pie in the Sky,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478856,-0.43446626875155797,-32.661575,-26.761976,16
112,132,Jade,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.23238414517114087,0.5161397696685858,63.262928,-22.097158,1
113,135,Down Periscope,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.826332,-13.375309,3
114,137,Man of the Year,1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07529304578560245,0.18354212983446055,42.204334,-25.917397,25
115,140,Up Close and Personal,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,38.817825,8.1945305,9
116,141,"Birdcage, The",1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.826315,-13.375273,3
117,144,"Brothers McMullen, The",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.826323,-13.375305,3
118,145,Bad Boys,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,-0.34571842328067454,0.20624391844837164,-15.497022,26.45748,7
119,146,"Amazing Panda Adventure, The",1995.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23690299098511577,0.44972115528037976,32.099846,53.61625,0
120,147,"Basketball Diaries, The",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.069482,-3.321327,10
121,148,"Awfully Big Adventure, An",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.144357,-3.0076005,10
122,149,Amateur,1994.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-0.9699922815946161,0.03680799764601803,-66.69874,18.330904,22
123,150,Apollo 13,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.4768041218644224,-0.13041587686751208,27.197004,29.633717,15
124,151,Rob Roy,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.5908988611524122,-0.29537817459646903,56.656376,26.912477,26
125,152,"Addiction, The",1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.5726719982851157,-0.23744771572499523,69.69538,17.327147,14
126,153,Batman Forever,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.6182648307567321,0.6630835066889899,-5.171182,25.155548,19
127,154,Beauty of the Day (Belle de jour),1967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.0805783,-3.2942343,10
128,155,Beyond Rangoon,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.5236037090112464,-0.18786015202941767,30.408117,26.67856,15
129,156,Blue in the Face,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-7.6843295,-37.81151,2
130,157,Canadian Bacon,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.710764389188576,-0.1397583654535422,37.410442,-8.700127,3
131,158,Casper,1995.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23690299098511577,0.44972115528037976,32.099636,53.615772,0
132,159,Clockers,1995.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.7545251701846678,-0.26415901799817465,-25.599863,-63.981182,17
133,160,Congo,1995.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.03332225052650617,1.138864682746375,16.944946,57.059414,20
134,161,Crimson Tide,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.8827205381969948,-0.0747401718648193,-34.713783,72.35919,12
135,162,Crumb,1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07529304578560245,0.18354212983446055,41.41088,-25.972965,25
136,163,Desperado,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.058422789540883036,0.3012788063280512,11.321253,72.4497,30
137,164,Devil in a Blue Dress,1995.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-0.4568193008450336,0.6631158983717925,58.389698,-11.372086,8
138,165,Die Hard: With a Vengeance,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.4362405818232093,1.0564695442966585,-12.270445,61.393944,8
139,166,"Doom Generation, The",1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.01862622093929644,-0.5981697643479216,-20.58235,17.606514,21
140,168,First Knight,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5454288929782163,-0.27445780146828036,56.64242,26.888521,26
141,169,Free Willy 2: The Adventure Home,1995.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.3679634338665422,-0.12023841312483671,31.028866,32.2968,15
142,170,Hackers,1995.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.37035367177718065,1.2980612686829294,-6.8653555,56.622173,8
143,171,Jeffrey,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-6.955126,-38.45505,2
144,172,Johnny Mnemonic,1995.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.3146762719824829,1.1982399740042966,-31.848457,54.070465,13
145,173,Judge Dredd,1995.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.15418806441458077,0.9341560658360765,-21.162104,51.203087,28
146,174,Jury Duty,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.922642,-13.719588,3
147,175,Kids,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.084263,-3.2823458,10
148,176,Living in Oblivion,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627718,-0.11883799232535354,18.922642,-13.719582,3
149,177,Lord of Illusions,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03219442656654222,0.33251185268022115,-70.687706,-12.604758,14
150,178,Love & Human Remains,1993.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.15136793251111375,-0.6887975607305701,-7.6082535,-38.219463,2
151,179,Mad Love,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,39.654903,7.6749067,9
152,180,Mallrats,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478856,-0.43446626875155797,-32.661552,-26.761976,16
153,181,Mighty Morphin Power Rangers: The Movie,1995.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.09990135585883622,0.6578314091395328,10.4629135,75.99457,30
154,183,Mute Witness,1994.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.4343530908210157,0.40695749978802026,-46.282898,-11.374299,11
